ID,PARENT_KEY_ID,PO_ITEM_POS,CURRENCY_CODE,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT
02BD2137-0890-1EEA-A6C2-BB55C1979398,02BD2137-0890-1EEA-A6C2-BB55C1979007,50,CAD,0,0,0
02BD2137-0890-1EEA-A6C2-BB55C1979399,02BD2137-0890-1EEA-A6C2-BB55C1979007,60,CAD,116.62,98,18.62
02BD2137-0890-1EEA-A6C2-BB55C1979400,02BD2137-0890-1EEA-A6C2-BB55C1979008,10,USD,1218.56,1024,194.56
02BD2137-0890-1EEA-A6C2-BB55C1979401,02BD2137-0890-1EEA-A6C2-BB55C1979008,20,USD,21.18,17.8,3.38
02BD2137-0890-1EEA-A6C2-BB55C1979402,02BD2137-0890-1EEA-A6C2-BB55C1979008,30,USD,188.02,158,30.02
02BD2137-0890-1EEA-A6C2-BB55C1979403,02BD2137-0890-1EEA-A6C2-BB55C1979009,10,ARS,1166.2,980,186.2
02BD2137-0890-1EEA-A6C2-BB55C1979404,02BD2137-0890-1EEA-A6C2-BB55C1979009,20,ARS,83.3,70,13.3
02BD2137-0890-1EEA-A6C2-BB55C1979405,02BD2137-0890-1EEA-A6C2-BB55C1979009,30,ARS,2259.81,1899,360.81
02BD2137-0890-1EEA-A6C2-BB55C1979406,02BD2137-0890-1EEA-A6C2-BB55C1979009,40,ARS,1166.2,980,186.2
02BD2137-0890-1EEA-A6C2-BB55C1979407,02BD2137-0890-1EEA-A6C2-BB55C1979009,50,ARS,83.3,70,13.3
02BD2137-0890-1EEA-A6C2-BB55C1979408,02BD2137-0890-1EEA-A6C2-BB55C1979009,60,ARS,753.27,633,120.27
02BD2137-0890-1EEA-A6C2-BB55C1979409,02BD2137-0890-1EEA-A6C2-BB55C1979009,70,ARS,1749.3,1470,279.3
02BD2137-0890-1EEA-A6C2-BB55C1979410,02BD2137-0890-1EEA-A6C2-BB55C1979010,10,ARS,34.51,29,5.51
02BD2137-0890-1EEA-A6C2-BB55C1979411,02BD2137-0890-1EEA-A6C2-BB55C1979010,20,ARS,253.11,212.7,40.41
02BD2137-0890-1EEA-A6C2-BB55C1979412,02BD2137-0890-1EEA-A6C2-BB55C1979010,30,ARS,103.53,87,16.53
02BD2137-0890-1EEA-A6C2-BB55C1979413,02BD2137-0890-1EEA-A6C2-BB55C1979010,40,ARS,84.37,70.9,13.47
02BD2137-0890-1EEA-A6C2-BB55C1979414,02BD2137-0890-1EEA-A6C2-BB55C1979011,10,ARS,2322.88,1952,370.88
02BD2137-0890-1EEA-A6C2-BB55C1979415,02BD2137-0890-1EEA-A6C2-BB55C1979011,20,ARS,2853.62,2398,455.62
02BD2137-0890-1EEA-A6C2-BB55C1979416,02BD2137-0890-1EEA-A6C2-BB55C1979011,30,ARS,26.18,22,4.18
02BD2137-0890-1EEA-A6C2-BB55C1979417,02BD2137-0890-1EEA-A6C2-BB55C1979011,40,ARS,3484.32,2928,556.32
02BD2137-0890-1EEA-A6C2-BB55C1979418,02BD2137-0890-1EEA-A6C2-BB55C1979011,50,ARS,2853.62,2398,455.62
02BD2137-0890-1EEA-A6C2-BB55C1979419,02BD2137-0890-1EEA-A6C2-BB55C1979011,60,ARS,26.18,22,4.18
02BD2137-0890-1EEA-A6C2-BB55C1979420,02BD2137-0890-1EEA-A6C2-BB55C1979011,70,ARS,1161.44,976,185.44
02BD2137-0890-1EEA-A6C2-BB55C1979421,02BD2137-0890-1EEA-A6C2-BB55C1979011,80,ARS,2853.62,2398,455.62
02BD2137-0890-1EEA-A6C2-BB55C1979422,02BD2137-0890-1EEA-A6C2-BB55C1979011,90,ARS,39.27,33,6.27
02BD2137-0890-1EEA-A6C2-BB55C1979423,02BD2137-0890-1EEA-A6C2-BB55C1979012,10,EUR,10.7,8.99,1.71
02BD2137-0890-1EEA-A6C2-BB55C1979424,02BD2137-0890-1EEA-A6C2-BB55C1979012,20,EUR,160.65,135,25.65
02BD2137-0890-1EEA-A6C2-BB55C1979425,02BD2137-0890-1EEA-A6C2-BB55C1979012,30,EUR,2972.62,2498,474.62
02BD2137-0890-1EEA-A6C2-BB55C1979426,02BD2137-0890-1EEA-A6C2-BB55C1979012,40,EUR,21.4,17.98,3.42
02BD2137-0890-1EEA-A6C2-BB55C1979427,02BD2137-0890-1EEA-A6C2-BB55C1979012,50,EUR,160.65,135,25.65
02BD2137-0890-1EEA-A6C2-BB55C1979428,02BD2137-0890-1EEA-A6C2-BB55C1979012,60,EUR,2972.62,2498,474.62
02BD2137-0890-1EEA-A6C2-BB55C1979429,02BD2137-0890-1EEA-A6C2-BB55C1979012,70,EUR,21.4,17.98,3.42
02BD2137-0890-1EEA-A6C2-BB55C1979430,02BD2137-0890-1EEA-A6C2-BB55C1979013,10,JPY,46.41,39,7.41
02BD2137-0890-1EEA-A6C2-BB55C1979431,02BD2137-0890-1EEA-A6C2-BB55C1979013,20,JPY,33.32,28,5.32
02BD2137-0890-1EEA-A6C2-BB55C1979432,02BD2137-0890-1EEA-A6C2-BB55C1979013,30,JPY,46.41,39,7.41
02BD2137-0890-1EEA-A6C2-BB55C1979433,02BD2137-0890-1EEA-A6C2-BB55C1979013,40,JPY,16.66,14,2.66
02BD2137-0890-1EEA-A6C2-BB55C1979434,02BD2137-0890-1EEA-A6C2-BB55C1979013,50,JPY,46.41,39,7.41
02BD2137-0890-1EEA-A6C2-BB55C1979435,02BD2137-0890-1EEA-A6C2-BB55C1979013,60,JPY,49.98,42,7.98
02BD2137-0890-1EEA-A6C2-BB55C1979436,02BD2137-0890-1EEA-A6C2-BB55C1979014,10,EUR,4280.43,3597,683.43
02BD2137-0890-1EEA-A6C2-BB55C1979437,02BD2137-0890-1EEA-A6C2-BB55C1979014,20,EUR,5.47,4.6,0.87
02BD2137-0890-1EEA-A6C2-BB55C1979438,02BD2137-0890-1EEA-A6C2-BB55C1979014,30,EUR,410.55,345,65.55
02BD2137-0890-1EEA-A6C2-BB55C1979439,02BD2137-0890-1EEA-A6C2-BB55C1979014,40,EUR,4280.43,3597,683.43
02BD2137-0890-1EEA-A6C2-BB55C1979440,02BD2137-0890-1EEA-A6C2-BB55C1979014,50,EUR,5.47,4.6,0.87
02BD2137-0890-1EEA-A6C2-BB55C1979441,02BD2137-0890-1EEA-A6C2-BB55C1979014,60,EUR,410.55,345,65.55
02BD2137-0890-1EEA-A6C2-BB55C1979442,02BD2137-0890-1EEA-A6C2-BB55C1979014,70,EUR,2853.62,2398,455.62
02BD2137-0890-1EEA-A6C2-BB55C1979443,02BD2137-0890-1EEA-A6C2-BB55C1979014,80,EUR,8.21,6.9,1.31
02BD2137-0890-1EEA-A6C2-BB55C1979444,02BD2137-0890-1EEA-A6C2-BB55C1979014,90,EUR,821.1,690,131.1
02BD2137-0890-1EEA-A6C2-BB55C1979445,02BD2137-0890-1EEA-A6C2-BB55C1979015,10,USD,235.62,198,37.62
02BD2137-0890-1EEA-A6C2-BB55C1979446,02BD2137-0890-1EEA-A6C2-BB55C1979015,20,USD,1651.72,1388,263.72
02BD2137-0890-1EEA-A6C2-BB55C1979447,02BD2137-0890-1EEA-A6C2-BB55C1979015,30,USD,54.74,46,8.74
02BD2137-0890-1EEA-A6C2-BB55C1979448,02BD2137-0890-1EEA-A6C2-BB55C1979016,10,EUR,10.7,8.99,1.71
02BD2137-0890-1EEA-A6C2-BB55C1979449,02BD2137-0890-1EEA-A6C2-BB55C1979016,20,EUR,107.1,90,17.1
02BD2137-0890-1EEA-A6C2-BB55C1979450,02BD2137-0890-1EEA-A6C2-BB55C1979017,10,JPY,8207.43,6897,1310.43
02BD2137-0890-1EEA-A6C2-BB55C1979451,02BD2137-0890-1EEA-A6C2-BB55C1979017,20,JPY,6069,5100,969
02BD2137-0890-1EEA-A6C2-BB55C1979452,02BD2137-0890-1EEA-A6C2-BB55C1979017,30,JPY,65.45,55,10.45
02BD2137-0890-1EEA-A6C2-BB55C1979453,02BD2137-0890-1EEA-A6C2-BB55C1979017,40,JPY,5471.62,4598,873.62
02BD2137-0890-1EEA-A6C2-BB55C1979454,02BD2137-0890-1EEA-A6C2-BB55C1979018,10,EUR,285.24,239.7,45.54
02BD2137-0890-1EEA-A6C2-BB55C1979455,02BD2137-0890-1EEA-A6C2-BB55C1979018,20,EUR,1963.5,1650,313.5
02BD2137-0890-1EEA-A6C2-BB55C1979456,02BD2137-0890-1EEA-A6C2-BB55C1979018,30,EUR,160.61,134.97,25.64
02BD2137-0890-1EEA-A6C2-BB55C1979457,02BD2137-0890-1EEA-A6C2-BB55C1979018,40,EUR,95.08,79.9,15.18
02BD2137-0890-1EEA-A6C2-BB55C1979458,02BD2137-0890-1EEA-A6C2-BB55C1979018,50,EUR,5890.5,4950,940.5
02BD2137-0890-1EEA-A6C2-BB55C1979459,02BD2137-0890-1EEA-A6C2-BB55C1979018,60,EUR,53.54,44.99,8.55
02BD2137-0890-1EEA-A6C2-BB55C1979460,02BD2137-0890-1EEA-A6C2-BB55C1979019,10,ZAR,711.62,598,113.62
02BD2137-0890-1EEA-A6C2-BB55C1979461,02BD2137-0890-1EEA-A6C2-BB55C1979019,20,ZAR,194.45,163.4,31.05
02BD2137-0890-1EEA-A6C2-BB55C1979462,02BD2137-0890-1EEA-A6C2-BB55C1979019,30,ZAR,711.62,598,113.62
02BD2137-0890-1EEA-A6C2-BB55C1979463,02BD2137-0890-1EEA-A6C2-BB55C1979019,40,ZAR,194.45,163.4,31.05
02BD2137-0890-1EEA-A6C2-BB55C1979464,02BD2137-0890-1EEA-A6C2-BB55C1979019,50,ZAR,355.81,299,56.81
02BD2137-0890-1EEA-A6C2-BB55C1979465,02BD2137-0890-1EEA-A6C2-BB55C1979019,60,ZAR,97.22,81.7,15.52
02BD2137-0890-1EEA-A6C2-BB55C1979466,02BD2137-0890-1EEA-A6C2-BB55C1979019,70,ZAR,711.62,598,113.62
02BD2137-0890-1EEA-A6C2-BB55C1979467,02BD2137-0890-1EEA-A6C2-BB55C1979019,80,ZAR,291.67,245.1,46.57
02BD2137-0890-1EEA-A6C2-BB55C1979468,02BD2137-0890-1EEA-A6C2-BB55C1979019,90,ZAR,711.62,598,113.62
02BD2137-0890-1EEA-A6C2-BB55C1979469,02BD2137-0890-1EEA-A6C2-BB55C1979020,10,JPY,5471.62,4598,873.62
02BD2137-0890-1EEA-A6C2-BB55C1979470,02BD2137-0890-1EEA-A6C2-BB55C1979020,20,JPY,2023,1700,323
02BD2137-0890-1EEA-A6C2-BB55C1979471,02BD2137-0890-1EEA-A6C2-BB55C1979020,30,JPY,130.9,110,20.9
02BD2137-0890-1EEA-A6C2-BB55C1979472,02BD2137-0890-1EEA-A6C2-BB55C1979021,10,CAD,1535.1,1290,245.1
02BD2137-0890-1EEA-A6C2-BB55C1979473,02BD2137-0890-1EEA-A6C2-BB55C1979021,20,CAD,0,0,0
02BD2137-0890-1EEA-A6C2-BB55C1979474,02BD2137-0890-1EEA-A6C2-BB55C1979022,10,ARS,464.1,390,74.1
02BD2137-0890-1EEA-A6C2-BB55C1979475,02BD2137-0890-1EEA-A6C2-BB55C1979022,20,ARS,603.33,507,96.33
02BD2137-0890-1EEA-A6C2-BB55C1979476,02BD2137-0890-1EEA-A6C2-BB55C1979022,30,ARS,154.7,130,24.7
02BD2137-0890-1EEA-A6C2-BB55C1979477,02BD2137-0890-1EEA-A6C2-BB55C1979022,40,ARS,402.22,338,64.22
02BD2137-0890-1EEA-A6C2-BB55C1979478,02BD2137-0890-1EEA-A6C2-BB55C1979023,10,EUR,4284,3600,684
02BD2137-0890-1EEA-A6C2-BB55C1979479,02BD2137-0890-1EEA-A6C2-BB55C1979023,20,EUR,103.53,87,16.53
02BD2137-0890-1EEA-A6C2-BB55C1979480,02BD2137-0890-1EEA-A6C2-BB55C1979023,30,EUR,1638.63,1377,261.63
02BD2137-0890-1EEA-A6C2-BB55C1979481,02BD2137-0890-1EEA-A6C2-BB55C1979023,40,EUR,4284,3600,684
02BD2137-0890-1EEA-A6C2-BB55C1979482,02BD2137-0890-1EEA-A6C2-BB55C1979023,50,EUR,69.02,58,11.02
02BD2137-0890-1EEA-A6C2-BB55C1979483,02BD2137-0890-1EEA-A6C2-BB55C1979023,60,EUR,546.21,459,87.21
02BD2137-0890-1EEA-A6C2-BB55C1979484,02BD2137-0890-1EEA-A6C2-BB55C1979023,70,EUR,2856,2400,456
02BD2137-0890-1EEA-A6C2-BB55C1979485,02BD2137-0890-1EEA-A6C2-BB55C1979024,10,EUR,117.81,99,18.81
02BD2137-0890-1EEA-A6C2-BB55C1979486,02BD2137-0890-1EEA-A6C2-BB55C1979024,20,EUR,11900,10000,1900
02BD2137-0890-1EEA-A6C2-BB55C1979487,02BD2137-0890-1EEA-A6C2-BB55C1979024,30,EUR,1425.62,1198,227.62
02BD2137-0890-1EEA-A6C2-BB55C1979488,02BD2137-0890-1EEA-A6C2-BB55C1979024,40,EUR,235.62,198,37.62
02BD2137-0890-1EEA-A6C2-BB55C1979489,02BD2137-0890-1EEA-A6C2-BB55C1979024,50,EUR,17850,15000,2850
02BD2137-0890-1EEA-A6C2-BB55C1979490,02BD2137-0890-1EEA-A6C2-BB55C1979024,60,EUR,1425.62,1198,227.62
02BD2137-0890-1EEA-A6C2-BB55C1979491,02BD2137-0890-1EEA-A6C2-BB55C1979024,70,EUR,235.62,198,37.62
02BD2137-0890-1EEA-A6C2-BB55C1979492,02BD2137-0890-1EEA-A6C2-BB55C1979024,80,EUR,11900,10000,1900
02BD2137-0890-1EEA-A6C2-BB55C1979493,02BD2137-0890-1EEA-A6C2-BB55C1979024,90,EUR,2138.43,1797,341.43
02BD2137-0890-1EEA-A6C2-BB55C1979494,02BD2137-0890-1EEA-A6C2-BB55C1979024,100,EUR,353.43,297,56.43
02BD2137-0890-1EEA-A6C2-BB55C1979495,02BD2137-0890-1EEA-A6C2-BB55C1979025,10,EUR,1544.62,1298,246.62
02BD2137-0890-1EEA-A6C2-BB55C1979496,02BD2137-0890-1EEA-A6C2-BB55C1979025,20,EUR,8.33,7,1.33
02BD2137-0890-1EEA-A6C2-BB55C1979497,02BD2137-0890-1EEA-A6C2-BB55C1979025,30,EUR,3472.42,2918,554.42
02BD2137-0890-1EEA-A6C2-BB55C1979498,02BD2137-0890-1EEA-A6C2-BB55C1979025,40,EUR,1544.62,1298,246.62
02BD2137-0890-1EEA-A6C2-BB55C1979499,02BD2137-0890-1EEA-A6C2-BB55C1979025,50,EUR,16.66,14,2.66
02BD2137-0890-1EEA-A6C2-BB55C1979500,02BD2137-0890-1EEA-A6C2-BB55C1979025,60,EUR,3472.42,2918,554.42
02BD2137-0890-1EEA-A6C2-BB55C1979501,02BD2137-0890-1EEA-A6C2-BB55C1979025,70,EUR,2316.93,1947,369.93
02BD2137-0890-1EEA-A6C2-BB55C1979502,02BD2137-0890-1EEA-A6C2-BB55C1979025,80,EUR,24.99,21,3.99
02BD2137-0890-1EEA-A6C2-BB55C1979503,02BD2137-0890-1EEA-A6C2-BB55C1979025,90,EUR,3472.42,2918,554.42
02BD2137-0890-1EEA-A6C2-BB55C1979504,02BD2137-0890-1EEA-A6C2-BB55C1979025,100,EUR,2316.93,1947,369.93
02BD2137-0890-1EEA-A6C2-BB55C1979505,02BD2137-0890-1EEA-A6C2-BB55C1979026,10,EUR,3412.92,2868,544.92
02BD2137-0890-1EEA-A6C2-BB55C1979506,02BD2137-0890-1EEA-A6C2-BB55C1979026,20,EUR,558.11,469,89.11
02BD2137-0890-1EEA-A6C2-BB55C1979507,02BD2137-0890-1EEA-A6C2-BB55C1979026,30,EUR,61.88,52,9.88
02BD2137-0890-1EEA-A6C2-BB55C1979508,02BD2137-0890-1EEA-A6C2-BB55C1979026,40,EUR,2275.28,1912,363.28
02BD2137-0890-1EEA-A6C2-BB55C1979509,02BD2137-0890-1EEA-A6C2-BB55C1979026,50,EUR,558.11,469,89.11
02BD2137-0890-1EEA-A6C2-BB55C1979510,02BD2137-0890-1EEA-A6C2-BB55C1979026,60,EUR,61.88,52,9.88
02BD2137-0890-1EEA-A6C2-BB55C1979511,02BD2137-0890-1EEA-A6C2-BB55C1979026,70,EUR,1137.64,956,181.64
02BD2137-0890-1EEA-A6C2-BB55C1979512,02BD2137-0890-1EEA-A6C2-BB55C1979026,80,EUR,1116.22,938,178.22
02BD2137-0890-1EEA-A6C2-BB55C1979513,02BD2137-0890-1EEA-A6C2-BB55C1979027,10,CNY,674.73,567,107.73
02BD2137-0890-1EEA-A6C2-BB55C1979514,02BD2137-0890-1EEA-A6C2-BB55C1979027,20,CNY,3173.73,2667,506.73
02BD2137-0890-1EEA-A6C2-BB55C1979515,02BD2137-0890-1EEA-A6C2-BB55C1979027,30,CNY,674.73,567,107.73
02BD2137-0890-1EEA-A6C2-BB55C1979516,02BD2137-0890-1EEA-A6C2-BB55C1979027,40,CNY,1057.91,889,168.91
02BD2137-0890-1EEA-A6C2-BB55C1979517,02BD2137-0890-1EEA-A6C2-BB55C1979027,50,CNY,224.91,189,35.91
02BD2137-0890-1EEA-A6C2-BB55C1979518,02BD2137-0890-1EEA-A6C2-BB55C1979028,10,USD,21.18,17.8,3.38
02BD2137-0890-1EEA-A6C2-BB55C1979519,02BD2137-0890-1EEA-A6C2-BB55C1979028,20,USD,94.01,79,15.01
02BD2137-0890-1EEA-A6C2-BB55C1979520,02BD2137-0890-1EEA-A6C2-BB55C1979028,30,USD,1218.56,1024,194.56
02BD2137-0890-1EEA-A6C2-BB55C1979521,02BD2137-0890-1EEA-A6C2-BB55C1979028,40,USD,10.59,8.9,1.69
02BD2137-0890-1EEA-A6C2-BB55C1979522,02BD2137-0890-1EEA-A6C2-BB55C1979028,50,USD,282.03,237,45.03
02BD2137-0890-1EEA-A6C2-BB55C1979523,02BD2137-0890-1EEA-A6C2-BB55C1979029,10,ARS,201.11,169,32.11
02BD2137-0890-1EEA-A6C2-BB55C1979524,02BD2137-0890-1EEA-A6C2-BB55C1979029,20,ARS,309.4,260,49.4
02BD2137-0890-1EEA-A6C2-BB55C1979525,02BD2137-0890-1EEA-A6C2-BB55C1979029,30,ARS,402.22,338,64.22
02BD2137-0890-1EEA-A6C2-BB55C1979526,02BD2137-0890-1EEA-A6C2-BB55C1979029,40,ARS,464.1,390,74.1
02BD2137-0890-1EEA-A6C2-BB55C1979527,02BD2137-0890-1EEA-A6C2-BB55C1979029,50,ARS,402.22,338,64.22
02BD2137-0890-1EEA-A6C2-BB55C1979528,02BD2137-0890-1EEA-A6C2-BB55C1979029,60,ARS,309.4,260,49.4
02BD2137-0890-1EEA-A6C2-BB55C1979529,02BD2137-0890-1EEA-A6C2-BB55C1979029,70,ARS,603.33,507,96.33
02BD2137-0890-1EEA-A6C2-BB55C1979530,02BD2137-0890-1EEA-A6C2-BB55C1979030,10,ARS,3484.32,2928,556.32
02BD2137-0890-1EEA-A6C2-BB55C1979531,02BD2137-0890-1EEA-A6C2-BB55C1979030,20,ARS,1426.81,1199,227.81
02BD2137-0890-1EEA-A6C2-BB55C1979532,02BD2137-0890-1EEA-A6C2-BB55C1979030,30,ARS,39.27,33,6.27
